Starting gRPC server
cd ../grpc-server/build && ./grpcServer
Order, good,-0.28 ,ASK[BINA], 705.700000, 706.405700, 0.000000, BID[RIPI], 708.000000, 704.460000, 0.000000, time,Sat Apr 27 01:20:24 -03 2024
Order, good,-0.28 ,ASK[BINA], 705.700000, 706.405700, 0.000000, BID[RIPI], 708.000000, 704.460000, 0.000000, time,Sat Apr 27 01:20:25 -03 2024
Order, good,-0.29 ,ASK[BINA], 705.800000, 706.505800, 0.000000, BID[RIPI], 708.000000, 704.460000, 0.000000, time,Sat Apr 27 01:20:26 -03 2024
Order, good,-0.23 ,ASK[BINA], 706.100000, 706.806100, 0.000000, BID[BINA], 705.900000, 705.194100, 0.000000, time,Sat Apr 27 01:20:30 -03 2024
Order, good,-0.23 ,ASK[BINA], 706.100000, 706.806100, 0.000000, BID[BINA], 705.900000, 705.194100, 0.000000, time,Sat Apr 27 01:20:32 -03 2024
Order, good,-0.23 ,ASK[BINA], 706.100000, 706.806100, 0.000000, BID[BINA], 705.900000, 705.194100, 0.000000, time,Sat Apr 27 01:20:33 -03 2024
Order, good,-0.27 ,ASK[BINA], 706.200000, 706.906200, 0.000000, BID[BINA], 705.700000, 704.994300, 0.000000, time,Sat Apr 27 01:20:36 -03 2024
Order, good,-0.17 ,ASK[BINA], 705.500000, 706.205500, 0.000000, BID[BINA], 705.700000, 704.994300, 0.000000, time,Sat Apr 27 01:20:38 -03 2024
Order, good,-0.23 ,ASK[BINA], 705.500000, 706.205500, 0.000000, BID[BINA], 705.300000, 704.594700, 0.000000, time,Sat Apr 27 01:20:40 -03 2024
Order, good,-0.25 ,ASK[BINA], 705.500000, 706.205500, 0.000000, BID[RIPI], 708.000000, 704.460000, 0.000000, time,Sat Apr 27 01:20:42 -03 2024
Order, good,-0.25 ,ASK[BINA], 705.500000, 706.205500, 0.000000, BID[RIPI], 708.000000, 704.460000, 0.000000, time,Sat Apr 27 01:20:45 -03 2024
Order, good,-0.25 ,ASK[BINA], 705.500000, 706.205500, 0.000000, BID[RIPI], 708.000000, 704.460000, 0.000000, time,Sat Apr 27 01:20:46 -03 2024
Order, good,-0.25 ,ASK[BINA], 705.500000, 706.205500, 0.000000, BID[RIPI], 708.000000, 704.460000, 0.000000, time,Sat Apr 27 01:20:49 -03 2024
